scenario,closure_id,source,category_norm,passability_norm,status_norm,reason_norm,title,road_name,locality,description,restrictions_text,source_event_id,raw_advice,raw_event_type,raw_event_subtype,raw_impact_type,raw_impact_subtype,raw_properties_json,geometry_type,matched_edges,nearest_edge_m,confidence,match_status,notes,url
impassable_only,qld.qldtraffic.6bb1331859308d56b7a5,qldtraffic,road_closed,impassable,active,unknown,,Duck Creek Road,Cainbable / Kerry,Vehicle access is closed to all vehicles and will remain closed until further notice | Road closed to all traffic,Use alternative route,248797,Use alternative route,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 248797, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/248797"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": null}, ""duration"": {""start"": ""2017-09-06T09:39:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Low"", ""description"": ""Vehicle access is closed to all vehicles and will remain closed until further notice "", ""advice"": ""Use alternative route"", ""information"": null, ""road_summary"": {""road_name"": ""Duck Creek Road"", ""locality"": ""Cainbable / Kerry"", ""postcode"": ""4285"", ""local_government_area"": ""Scenic Rim Regional"", ""district"": ""South Coast""}, ""last_updated"": ""2026-09-19T07:45:56.129232+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,0,17.3,unmatched,unmatched,line: blocked 0 of 0 candidate edge(s) within 10m; name-confirmed=0; distance-body=0,https://api.qldtraffic.qld.gov.au/v2/events/248797
impassable_only,qld.qldtraffic.3f3213b2ed91a43e332e,qldtraffic,road_closed,impassable,active,unknown,,Black Pinch Road,Cootharaba,"Black Pinch Road, Cootharaba closed to all traffic due to landslip | Road closed to all traffic",Reduced speed limit (80km/h),452887,Reduced speed limit (80km/h),Hazard,Bridge or culvert damaged,Closures,Road closed to all traffic,"{""id"": 452887, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""6bc5c2d9-47a3-41d8-9aaa-a68759574dbc"", ""account"": ""35740"", ""provided_by"": ""Noosa Shire Council"", ""provided_by_url"": ""https://www.noosa.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/452887"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Bridge or culvert damaged"", ""event_due_to"": null, ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Long delays expected""}, ""duration"": {""start"": ""2022-02-25T14:45:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Black Pinch Road, Cootharaba closed to all traffic due to landslip"", ""advice"": ""Reduced speed limit (80km/h)"", ""information"": null, ""road_summary"": {""road_name"": ""Black Pinch Road"", ""locality"": ""Cootharaba"", ""postcode"": ""4565"", ""local_government_area"": ""Noosa Shire"", ""district"": ""North Coast""}, ""last_updated"": ""2026-07-10T15:36:04.972699+10:00"", ""next_inspection"": ""2027-09-07T15:34:00+10:00"", ""web_link"": null, ""alert_message"": null}",MultiLineString,2,0.0,high,matched,line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching,https://api.qldtraffic.qld.gov.au/v2/events/452887
impassable_only,qld.qldtraffic.787db763dde750187f63,qldtraffic,road_closed,impassable,active,flood,,Dugandan Road,Bunya,Flood Damage at Bunya Crossing Reserve car park | Road closed to all traffic,Do not drive in flood waters,717127,Do not drive in flood waters,Flooding,Flash flooding,Closures,Road closed to all traffic,"{""id"": 717127, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""MBRC"", ""source_id"": ""mbrc-2ab819d0-5fcd-44b9-b160-b5d10b847f25"", ""account"": ""MBRC"", ""provided_by"": ""City of Moreton Bay"", ""provided_by_url"": ""https://www.moretonbay.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/717127"", ""image"": null, ""event_type"": ""Flooding"", ""event_subtype"": ""Flash flooding"", ""event_due_to"": ""Heavy rain"", ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Long delays expected""}, ""duration"": {""start"": ""2026-05-29T01:27:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Flood Damage at Bunya Crossing Reserve car park"", ""advice"": ""Do not drive in flood waters"", ""information"": null, ""road_summary"": {""road_name"": ""Dugandan Road"", ""locality"": ""Bunya"", ""postcode"": ""4055"", ""local_government_area"": ""Moreton Bay Regional"", ""district"": ""North Coast""}, ""last_updated"": ""2026-05-29T11:40:01.352716+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiPoint,2,6.2,high,matched,point: blocked 2 edge(s) within 75m,https://api.qldtraffic.qld.gov.au/v2/events/717127
impassable_only,qld.qldtraffic.e75e3c222a276c65a5c4,qldtraffic,road_closed,impassable,active,unknown,,Barney View Road,Barney View,Observe signage | Road closed to through traffic,Observe signage,719174,Observe signage,Hazard,Road damage,Closures,Road closed to through traffic,"{""id"": 719174, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""01594e52-680b-425e-9978-6fcc012c0157"", ""account"": ""36510"", ""provided_by"": ""Scenic Rim Regional Council"", ""provided_by_url"": ""http://ldcc@scenicrim.qld.gov.au ""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/719174"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": ""Rough surface"", ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to through traffic"", ""delay"": ""Delays expected""}, ""duration"": {""start"": ""2025-04-03T14:10:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": null, ""advice"": ""Observe signage"", ""information"": null, ""road_summary"": {""road_name"": ""Barney View Road"", ""locality"": ""Barney View"", ""postcode"": ""4287"", ""local_government_area"": ""Scenic Rim Regional"", ""district"": ""South Coast""}, ""last_updated"": ""2026-01-08T08:48:02.179324+10:00"", ""next_inspection"": ""2025-08-01T08:00:00+10:00"", ""web_link"": null, ""alert_message"": null}",MultiPoint,2,3.2,high,matched,point: blocked 2 edge(s) within 75m,https://api.qldtraffic.qld.gov.au/v2/events/719174
impassable_only,qld.qldtraffic.6fd6e6ca1d0d46c6374b,qldtraffic,road_closed,impassable,active,flood,,Laidley Creek West Road,Mulgowie,Road Closed - Seek Alternative Route | Road closed to all traffic,Diversions are in place,750590,Diversions are in place,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 750590, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""b510d53f-f2f8-485b-81dc-ba160bf56b8c"", ""account"": ""34580"", ""provided_by"": ""Lockyer Valley Regional Council"", ""provided_by_url"": ""https://www.lockyervalley.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/750590"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": ""Earlier flooding"", ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": """"}, ""duration"": {""start"": ""2026-06-30T14:26:00+10:00"", ""end"": ""2026-11-30T14:26:00+10:00"", ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Road Closed - Seek Alternative Route"", ""advice"": ""Diversions are in place"", ""information"": null, ""road_summary"": {""road_name"": ""Laidley Creek West Road"", ""locality"": ""Mulgowie"", ""postcode"": ""4341"", ""local_government_area"": ""Lockyer Valley Regional"", ""district"": ""Darling Downs""}, ""last_updated"": ""2026-08-31T06:52:02.486745+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,2,0.0,high,matched,line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching,https://api.qldtraffic.qld.gov.au/v2/events/750590
impassable_only,qld.qldtraffic.92e816fe3b6cf5bd28bc,qldtraffic,road_closed,impassable,active,flood,,Dunbar Koolatah Road / Dunbar Kowanyama Road / Koolatah Access,Maramie / Yagoonya,Dunbar to Koolatah | Road closed to all traffic,Do not drive in flood waters,770764,Do not drive in flood waters,Flooding,Long-term flooding,Closures,Road closed to all traffic,"{""id"": 770764, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/770764"", ""image"": null, ""event_type"": ""Flooding"", ""event_subtype"": ""Long-term flooding"", ""event_due_to"": ""Heavy rain"", ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Long delays expected""}, ""duration"": {""start"": ""2025-12-27T09:16:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Dunbar to Koolatah"", ""advice"": ""Do not drive in flood waters"", ""information"": null, ""road_summary"": {""road_name"": ""Dunbar Koolatah Road / Dunbar Kowanyama Road / Koolatah Access"", ""locality"": ""Maramie / Yagoonya"", ""postcode"": ""4892"", ""local_government_area"": ""Carpentaria Shire"", ""district"": ""North West""}, ""last_updated"": ""2026-09-19T22:51:17.532677+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,16,0.0,high,matched,"line: blocked 2 of 6 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; rejected endpoint-no-bleed=2, cross/short-touch=2; no graph road-name match; used strict distance-only body matching; line: blocked 0 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=0; rejected cross/short-touch=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 6 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; rejected cross/short-touch=4; no graph road-name match; used strict distance-only body matching; line: blocked 10 of 12 candidate edge(s) within 10m; name-confirmed=0; distance-body=10; rejected cross/short-touch=2; no graph road-name match; used strict distance-only body matching; line: blocked 6 of 6 candidate edge(s) within 10m; name-confirmed=0; distance-body=6; no graph road-name match; used strict distance-only body matching",https://api.qldtraffic.qld.gov.au/v2/events/770764
impassable_only,qld.qldtraffic.0b3551e42a611966f64b,qldtraffic,road_closed,impassable,active,unknown,,Camerons Corner Road,Cameron Corner / Tibooburra,Avoid the area | Road closed to all traffic,Avoid the area,780316,Avoid the area,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 780316, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/780316"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": ""Boggy conditions"", ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Delays expected""}, ""duration"": {""start"": ""2026-02-06T07:40:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": null, ""advice"": ""Avoid the area"", ""information"": null, ""road_summary"": {""road_name"": ""Camerons Corner Road"", ""locality"": ""Cameron Corner / Tibooburra"", ""postcode"": ""4492"", ""local_government_area"": ""Bulloo Shire"", ""district"": ""South West""}, ""last_updated"": ""2026-09-20T00:09:13.260491+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,6,0.0,high,matched,"line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 4 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; rejected cross/short-touch=2; no graph road-name match; used strict distance-only body matching; line: blocked 4 of 10 candidate edge(s) within 10m; name-confirmed=0; distance-body=4; rejected endpoint-no-bleed=2, cross/short-touch=4; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching; line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching",https://api.qldtraffic.qld.gov.au/v2/events/780316
impassable_only,qld.qldtraffic.78122eb3ca8e33ecc8f2,qldtraffic,road_closed,impassable,active,flood,,Riversleigh Road,Lawn Hill,Gregory Downs - Camooweal Road to Old Herbert Vale Road (Mount Isa LGA Only) | Road closed to all traffic,Do not drive in flood waters,783356,Do not drive in flood waters,Flooding,Long-term flooding,Closures,Road closed to all traffic,"{""id"": 783356, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""EPS"", ""source_id"": null, ""account"": null, ""provided_by"": ""Department of Transport and Main Roads"", ""provided_by_url"": ""https://qldtraffic.qld.gov.au""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/783356"", ""image"": null, ""event_type"": ""Flooding"", ""event_subtype"": ""Long-term flooding"", ""event_due_to"": null, ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Long delays expected""}, ""duration"": {""start"": ""2026-02-25T09:20:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Low"", ""description"": ""Gregory Downs - Camooweal Road to Old Herbert Vale Road (Mount Isa LGA Only)"", ""advice"": ""Do not drive in flood waters"", ""information"": null, ""road_summary"": {""road_name"": ""Riversleigh Road"", ""locality"": ""Lawn Hill"", ""postcode"": ""4825"", ""local_government_area"": ""Mount Isa City"", ""district"": ""North West""}, ""last_updated"": ""2026-09-19T22:51:16.980121+10:00"", ""next_inspection"": null, ""web_link"": null, ""alert_message"": null}",MultiLineString,14,0.0,high,matched,"line: blocked 14 of 18 candidate edge(s) within 10m; name-confirmed=0; distance-body=14; rejected cross/short-touch=2, angle-mismatch=2; no graph road-name match; used strict distance-only body matching",https://api.qldtraffic.qld.gov.au/v2/events/783356
impassable_only,qld.qldtraffic.bd1ec70da52f242c7f82,qldtraffic,road_closed,impassable,active,unknown,,Wetheron Road,Bon Accord,Bon Accord Bridge | Road closed to all traffic,Use alternative route,787168,Use alternative route,Hazard,Bridge or culvert damaged,Closures,Road closed to all traffic,"{""id"": 787168, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""504a93d0-2cd7-4cb3-976c-5f3e6a726c40"", ""account"": ""35760"", ""provided_by"": ""North Burnett Regional Council "", ""provided_by_url"": ""https://www.northburnett.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/787168"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Bridge or culvert damaged"", ""event_due_to"": null, ""impact"": {""direction"": ""Both directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": ""Long delays expected""}, ""duration"": {""start"": ""2026-03-09T07:00:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": ""Bon Accord Bridge "", ""advice"": ""Use alternative route"", ""information"": null, ""road_summary"": {""road_name"": ""Wetheron Road"", ""locality"": ""Bon Accord"", ""postcode"": ""4625"", ""local_government_area"": ""North Burnett Regional"", ""district"": ""Wide Bay/Burnett""}, ""last_updated"": ""2026-06-22T09:54:01.675811+10:00"", ""next_inspection"": ""2027-09-03T09:51:00+10:00"", ""web_link"": null, ""alert_message"": null}",MultiPoint,2,2.2,high,matched,point: blocked 2 edge(s) within 75m,https://api.qldtraffic.qld.gov.au/v2/events/787168
impassable_only,qld.qldtraffic.f86be34ccf786f961abb,qldtraffic,road_closed,impassable,active,flood,,Banana Mungi Road,Banana,Avoid the area | Road closed to all traffic,Avoid the area,787707,Avoid the area,Hazard,Road damage,Closures,Road closed to all traffic,"{""id"": 787707, ""area_alert"": false, ""status"": ""Published"", ""published"": null, ""source"": {""source_name"": ""Guardian"", ""source_id"": ""731961dc-93cc-4764-b5bc-e2b889524945"", ""account"": ""30370"", ""provided_by"": ""Banana Shire Council"", ""provided_by_url"": ""https://emd.banana.qld.gov.au/""}, ""url"": ""https://api.qldtraffic.qld.gov.au/v2/events/787707"", ""image"": null, ""event_type"": ""Hazard"", ""event_subtype"": ""Road damage"", ""event_due_to"": ""Earlier flooding"", ""impact"": {""direction"": ""All directions"", ""towards"": null, ""impact_type"": ""Closures"", ""impact_subtype"": ""Road closed to all traffic"", ""delay"": """"}, ""duration"": {""start"": ""2026-03-12T10:30:00+10:00"", ""end"": null, ""active_days"": null, ""recurrences"": null}, ""event_priority"": ""Medium"", ""description"": null, ""advice"": ""Avoid the area"", ""information"": null, ""road_summary"": {""road_name"": ""Banana Mungi Road"", ""locality"": ""Banana"", ""postcode"": ""4702"", ""local_government_area"": ""Banana Shire"", ""district"": ""Fitzroy""}, ""last_updated"": ""2026-06-18T09:44:02.036084+10:00"", ""next_inspection"": ""2026-09-07T08:55:00+10:00"", ""web_link"": null, ""alert_message"": null}",MultiLineString,2,2.3,high,matched,line: blocked 2 of 2 candidate edge(s) within 10m; name-confirmed=0; distance-body=2; no graph road-name match; used strict distance-only body matching,https://api.qldtraffic.qld.gov.au/v2/events/787707
